stop_id,stop_name
4-1255,Cours Fleury
4-1257,MARSANNAY Acti-Sud
4-1258,Charton
4-1263,Bourroches
4-1264,St-Jacques
4-1265,Volnay
4-1266,Volnay
4-1267,St-Jacques
4-1274,Charton
4-1275,Herbiottes
4-1276,Sainte-Anne
4-1278,Claudel
4-1279,Divio
4-1281,Claudel
4-1287,Fauconnet
4-1288,Dupuis
4-1289,Verriers
4-1290,Beauregard
4-1291,Duhamel
4-1292,Prevots
4-1293,Ateliers APF
4-1295,Ateliers APF
4-1297,Beauregard
4-1298,Verriers
4-1306,Changey
4-1307,Meix Pillon
4-1308,Champs Viaux
4-1309,Alisiers
4-1310,Maladière
4-1311,Alisiers
4-1312,Daix Mairie
4-1313,Changey
4-1314,Longvic ZI
4-1315,Longvic ZI
4-1321,Champs Creux
4-1322,CHEVIGNY
4-1323,LOgive
4-1324,Kennedy
4-1325,J.Moulin
4-1326,Menuisiers
4-1327,Menuisiers
4-1329,Kennedy
4-1330,LOgive
4-1331,CHEVIGNY
4-1332,Champs Creux
4-1333,CHEVIGNY Mairie
4-1334,Molière
4-1335,Molière
4-1339,Chanoine Kir
4-1342,Dallas CRI
4-1343,Nation
4-1344,Prés Potets
4-1346,Glycines
4-1347,Terrillon
4-1348,Bourroches Eiffel
4-1349,Richet
4-1350,Abbé Chanlon
4-1351,Léonard de Vinci
4-1353,Trois Saffres
4-1355,Léonard de Vinci
4-1356,Abbé Chanlon
4-1357,Richet
4-1358,Bourroches Eiffel
4-1359,Prés Potets
4-1360,Glycines
4-1362,Trois Saffres
4-1363,Le Suzon
4-1364,Université
4-1365,21e Siecle
4-1366,IUT
4-1367,AgroSup
4-1368,AgroSup
4-1369,IUT
4-1370,21e siecle
4-1371,Toison dOr
4-1372,Theuriet
4-1373,Dupuis
4-1375,Lycée de Gaulle
4-1378,Corneille
4-1379,Racine
4-1380,Montots
4-1383,Pasteur
4-1384,CHEVIGNY Mairie
4-1385,CHEVIGNY Mairie
4-1386,Pasteur
4-1387,Félizots
4-1388,Pompon
4-1389,Pompon
4-1390,Zénith
4-1392,Chambertin
4-1393,Pl. du Puits
4-1394,La Paisse
4-1395,Hauteville Mairie
4-1396,La Paisse
4-1397,Chambertin
4-1398,Poincaré
4-1399,York
4-1400,Boutaric
4-1401,Boutaric
4-1402,York
4-1403,Poincaré
4-1404,Le Suzon
4-1405,Duhamel
4-1431,Guesde
4-1432,Guesde
4-1439,Bouteiller
4-1440,Urgences C.H.U.
4-1442,Gare SNCF
4-1443,Gare SNCF
4-1457,Bourroches
4-1459,CHENÔVE Centre
4-1462,Darcy
4-1464,Le Mail
4-1465,Drapeau
4-1466,Europe
4-1467,Foch Gare
4-1469,Carraz
4-1472,Junot
4-1474,1er Mai
4-1475,Nation
4-1477,République T2
4-1484,Toison dOr
4-1490,Bourroches
4-1494,Darcy
4-1496,Le Mail
4-1497,Drapeau
4-1498,Europe
4-1499,Foch Gare
4-1502,Carraz
4-1505,Junot
4-1507,1er Mai
4-1508,Nation
4-1509,DIJON Valmy
4-1510,République T2
4-1514,Toison dOr
4-1528,Godrans 1
4-1530,Monge
4-1531,Giroud
4-1532,Pôle Santé
4-1533,Valendons
4-1536,Godrans 2
4-1537,Monge
4-1538,Giroud
4-1539,Pôle Santé
4-1540,Valendons
4-1542,Auditorium
4-1543,Grand Marché
4-1544,Université
4-1545,Cap Vert
4-1546,CHU - Hôpitaux
4-1550,Erasme
4-1555,Grésilles
4-1556,Mazen Sully
4-1557,Parc des Sports
4-1558,Poincaré
4-1559,QUETIGNY Centre
4-1560,République T1
4-1562,Auditorium
4-1563,Grand Marché
4-1564,Université
4-1565,Cap Vert
4-1566,CHU - Hôpitaux
4-1569,Erasme
4-1571,Grésilles
4-1572,Mazen Sully
4-1573,Parc des Sports
4-1574,Poincaré
4-1575,QUETIGNY Centre
4-1576,République T1
4-1580,Piscine Olympique
4-1581,Piscine Olympique
4-1585,DIJON Gare
4-1586,Marne
4-1592,Hauteville
4-1596,Dubois
4-1604,Blés dOr
4-1607,Néel
4-1608,Marmuzots
4-1609,Darcy Sevigné
4-1610,Montmuzard
4-1611,Parc des Sports
4-1612,Voltaire
4-1613,Lycée Carnot
4-1614,République
4-1615,République
4-1616,Lycée Carnot
4-1617,Parc des Sports
4-1618,Montmuzard
4-1621,Monge
4-1623,CHENÔVE Centre
4-1624,Thibaut
4-1625,Pièce Léger
4-1626,Pièce Léger
4-1627,Thibaut
4-1628,CHENÔVE Centre
4-1629,Monge
4-1634,Canzio
4-1635,Vaillant
4-1636,Vaillant
4-1637,Grand Marché
4-1638,Quetigny C.Cial
4-1642,Neuilly
4-1643,Orée du Bois
4-1644,Orée du Bois
4-1645,Neuilly
4-1646,Marronniers
4-1650,Quetigny C.Cial
4-1651,Grand Marché
4-1652,Collège Clos de Pouilly
4-1653,Balzac
4-1654,St-Apollinaire Pré Thomas
4-1655,Tirbaude
4-1656,Abbé Pierre
4-1657,Gare SNCF
4-1658,Saint-Apollinaire Mairie
4-1659,Moirey
4-1661,La Planchotte
4-1662,Moirey
4-1663,Saint-Apollinaire Mairie
4-1664,Marie de Bourgogne
4-1665,Tirbaude
4-1668,DIJON Valmy
4-1672,Jaurès
4-1675,Zénith
4-1677,Zénith
4-1683,Jaurès
4-10000,La Gentiane
4-10001,La Gentiane
4-10003,LONGVIC Centre
4-10004,Piot
4-10005,Piot
4-12194,Berbisey
